title,url,ingredient
아삭아삭 매콤한 콩나물무침,http://www.10000recipe.com/recipe/7000010,"[['콩나물300g'], ['구운소금2T'], ['고춧가루1T'], ['참기름1T'], ['다진마늘1T'], ['다진파1.5T']]"
꼬들 꼬들한 <어묵 볶음 >,http://www.10000recipe.com/recipe/7000011,"[['사각어묵7장'], ['청양고추1개'], ['대파1.5개'], ['다진마늘1T'], ['양파1개'], ['식용유1T'], ['식용유1T'], ['고추기름1T'], ['진간장2T'], ['고춧가루1T'], ['미림1T'], ['물엿1T'], ['후춧가루살짝']]"
감자 피자 만드는법,http://www.10000recipe.com/recipe/7000012,"[['감자3개'], ['전분3스푼'], ['오일3-4스푼'], ['토마토소스8스푼'], ['토마토케첩2스푼'], ['모짜렐라치즈140g'], ['체다치즈2장'], ['파미지아노레지아노치즈또는파마산치즈취향껏'], ['대저토마토1개'], ['양파1/2개'], ['바질잎10개']]"
단호박감자채전 만드는법,http://www.10000recipe.com/recipe/7000013,"[['감자1개'], ['단호박썬것4조각'], ['부침가루1/2컵'], ['물1/2컵'], ['청양고추1개'], ['붉은고추약간'], ['오일넉넉하게'], ['달래약간'], ['채썬양파1스푼'], ['청양고추1개'], ['양조간장1스푼'], ['저염맛간장1스푼'], ['참기름1/2스푼'], ['참깨약간']]"
비타민C 풍부한 수제 레몬청 만드는법,http://www.10000recipe.com/recipe/7000014,"[['레몬4개'], ['설탕2컵'], ['물1L'], ['식초3스푼'], ['베이킹소다2스푼']]"
뼛속까지 시원한 북어국 끓이는법,http://www.10000recipe.com/recipe/7000015,"[['북어채1줌'], ['콩나물1줌'], ['채썬대파3T'], ['무약간'], ['참기름1T'], ['다진마늘1/2T'], ['국간장2T'], ['육수600ml']]"
초간단 오이무침,http://www.10000recipe.com/recipe/7000016,"[['오이1개'], ['양파1/3개'], ['고춧가루1숟가락'], ['설탕1/2숟가락'], ['간장1숟가락'], ['다진마늘1/2숟가락'], ['식초1/2숟가락'], ['참기름1숟가락'], ['통깨1숟가락']]"
브로콜리들깨무침 레시피,http://www.10000recipe.com/recipe/7000017,"[['데친브로콜리1줌'], ['국간장1T'], ['들기름2T'], ['들깨가루2T']]"
꽃계란말이 만드는 법 계란말이 레시피,http://www.10000recipe.com/recipe/7000018,"[['계란5개'], ['분홍소세지1/5개'], ['파슬리가루약간'], ['식용유적당량']]"
감자스팸짜글이,http://www.10000recipe.com/recipe/7000019,"[['스팸1캔'], ['감자3개'], ['대파1대'], ['양파1/2개'], ['홍고추2개'], ['간장3T'], ['맛술1T'], ['다진마늘2T'], ['고춧가루2T'], ['고추장1T'], ['설탕1T']]"
쉽고 간단한 밥도둑 반찬 멸치 무조림 감칠맛이 끝내주네요,http://www.10000recipe.com/recipe/7000020,"[['무400g'], ['멸치1줌'], ['양파1/2개'], ['대파1대'], ['청양고추1개'], ['물2컵'], ['고춧가루2큰술'], ['진간장4큰술'], ['마늘1큰술'], ['된장약간']]"
닭똥집볶음 만드는법 닭근위볶음 술안주 레시피,http://www.10000recipe.com/recipe/7000021,"[['닭근위400g'], ['청양고추10개'], ['통마늘10개'], ['은행10개'], ['밀가루5스푼'], ['식용유3스푼'], ['소주5스푼'], ['소금1/2스푼'], ['소금1/2스푼'], ['후추1/2스푼'], ['초고추장2스푼']]"
고기없이 개운한 된장찌개 끓이는법,http://www.10000recipe.com/recipe/7000022,"[['두부1/2모'], ['표고버섯3개'], ['양파1/4개'], ['애호박1/3개'], ['멸치다시육수2컵'], ['땡초1개'], ['고춧가루1/2T'], ['집된장2T'], ['연두1T']]"
녹차&초코 아포가토 만들기,http://www.10000recipe.com/recipe/7000023,"[['녹차아이스크림2스쿱'], ['초코소스적당량'], ['에스프레소1샷']]"
감바스 만들기,http://www.10000recipe.com/recipe/7000024,"[['마늘13개'], ['토마토10개'], ['올리브오일180ml'], ['소금1/5큰술'], ['후춧가루약간'], ['새우20개'], ['식빵2개'], ['브로콜리1개']]"
고소하게 먹기 좋은 백순대볶음 만들기 & 백순대볶음 양념장 만들기,http://www.10000recipe.com/recipe/7000025,"[['냉장순대500g'], ['깻잎1봉지'], ['당면60g'], ['당근1/3개'], ['양파1개'], ['양배추1/4통'], ['대파1토막'], ['식용유2T'], ['참기름2T'], ['다진마늘1T'], ['소금2/3T'], ['들깨가루2T'], ['후춧가루적당히'], ['고추장크게2T'], ['다진마늘2T'], ['설탕2T'], ['식초2T'], ['들깨가루2T'], ['물3T']]"
전자레인지 계란찜 (feat.우유),http://www.10000recipe.com/recipe/7000026,"[['달걀3개'], ['대파약간'], ['당근약간'], ['후춧가루적당히'], ['소금적당히'], ['맛술1T'], ['참치액0.5T'], ['우유1컵'], ['물1컵']]"
봄소풍 도시락 메뉴 양배추샌드위치,http://www.10000recipe.com/recipe/7000027,"[['양배추1/4'], ['맛살2개'], ['마요네즈2'], ['머스타드1.5']]"
중국식 만능소스 마늘소스,http://www.10000recipe.com/recipe/7000028,"[['다진마늘250g'], ['기름300g'], ['소금5g'], ['설탕5g'], ['간장20g'], ['굴소스20g'], ['치킨스톡5g']]"
딸기 콩포트 디저트 만들기,http://www.10000recipe.com/recipe/7000029,"[['딸기콩포트또는딸기청1큰술'], ['우유또는요거트1.5큰술'], ['시리얼약간']]"
떡만두국 초간단 레시피(혼밥),http://www.10000recipe.com/recipe/7000030,"[['떡국떡100g'], ['왕만두2~3개'], ['계란1개'], ['대파1/4뿌리'], ['다시물700~800ml'], ['소금약간']]"
매콤한 가자미조림 만들기 초간단 레시피(밥반찬),http://www.10000recipe.com/recipe/7000031,"[['가자미3마리'], ['무1/2개'], ['대파1/2뿌리'], ['청양고추2개'], ['간장3T'], ['고춧가루1.5T'], ['다진마늘1T'], ['올리고당1T'], ['매실액1T']]"
두부 간장조림 2가지로 만들기,http://www.10000recipe.com/recipe/7000032,"[['두부300g'], ['쪽파2줄기'], ['전분2스푼'], ['간장2스푼'], ['맛술1스푼'], ['올리고당1스푼'], ['설탕1/2스푼'], ['마늘1/3스푼'], ['물이나육수5스푼']]"
청경채 새우볶음 만드는 법 이보다 쉬운 요리는 없다 굴소스 청경채 새우볶음,http://www.10000recipe.com/recipe/7000033,"[['청경채1봉지'], ['냉동새우6개'], ['홍고추1개'], ['굴소스1T'], ['참기름1T'], ['깨소금1T'], ['후춧가루적당히'], ['올리브유1T']]"
상추겉절이 맛있게 무치는 방법 양념장 황금비율 레시피 상추오이 무침 상추오이 샐러드,http://www.10000recipe.com/recipe/7000034,"[['오이1개'], ['상추100g'], ['홍고추1개'], ['진간장1T'], ['멸치액젓1T'], ['마늘1/2T'], ['유자청1T'], ['고춧가루1T'], ['참기름1T'], ['깨소금1T']]"
민어 찜 만드는 법 민어 건정찜 반건조 민어찜,http://www.10000recipe.com/recipe/7000035,"[['민어'], ['생강'], ['마늘'], ['올리브유'], ['미림'], ['참기름'], ['물3T'], ['청양고추']]"
"30개월 아기 반찬, 아기 브로콜리두부무침 레시피",http://www.10000recipe.com/recipe/7000036,"[['두부100g'], ['브로콜리30g'], ['참기름1T'], ['소금0.1T'], ['통깨0.5T']]"
"라면죽 끓이기, 들깨라면죽 레시피",http://www.10000recipe.com/recipe/7000037,"[['라면1봉지'], ['물500ml'], ['공기밥200g'], ['대파1대'], ['들깨가루1.5T'], ['참기름1T'], ['계란1알']]"
부활절 달걀 꾸미기,http://www.10000recipe.com/recipe/7000038,"[['계란20개'], ['물1L'], ['식초1스푼'], ['소금1스푼']]"
스팸김치찜~,http://www.10000recipe.com/recipe/7000039,"[['묵은김치1/2포기'], ['스팸2캔'], ['대파1대'], ['양파80g'], ['청양고추2개'], ['물600ml'], ['마늘1T'], ['새우젓1T'], ['설탕1T'], ['만능멸치육수1T']]"
#무전김밥 #돼지막창김밥 #돼지곱창김밥만들기 #돼지데리야끼곱창 #매운돼지곱창 #무전,http://www.10000recipe.com/recipe/7000040,"[['밥4공기'], ['소금1작은술'], ['참기름1큰술'], ['통깨1큰술'], ['무1/4개'], ['계란3개'], ['소금2꼬집'], ['돼지막창60g'], ['돼지곱창60g'], ['오이1/2개'], ['당근1/4개'], ['단무지80g'], ['김밥용김10장'], ['무전'], ['밥']]"
시래기갈치조림 고추장 양념장 저녁메인반찬 추천,http://www.10000recipe.com/recipe/7000041,"[['갈치16조각'], ['시래기1주먹'], ['무1/4개'], ['대파1/2대'], ['청양고추1개'], ['물시래기가잠길정도'], ['된장2'], ['고추장1'], ['고춧가루1'], ['멸치액젓1/2'], ['다진마늘1.5'], ['다진생강1'], ['맛술2']]"
등갈비김치찜 김치넣고 푹푹 익히기만 하세요 복잡한건 정말 싫으네요 (양념도 초심플),http://www.10000recipe.com/recipe/7000042,"[['김치1/2포기'], ['등갈비1kg'], ['양파1/2개'], ['대파1대'], ['고춧가루1큰술'], ['설탕1큰술'], ['멸치액젓1큰술'], ['맛술2큰술']]"
돼지고기 김치찌개 이거 하나면 다른 반찬 필요없지..,http://www.10000recipe.com/recipe/7000044,"[['김치1/2포기'], ['돼지고기300g'], ['사골곰탕1팩'], ['두부1/2모'], ['대파1/2개'], ['들기름1큰술'], ['다진마늘1큰술'], ['고춧가루1큰술'], ['국간장1큰술'], ['다시다1티스푼']]"
유채(하루나) 무침.,http://www.10000recipe.com/recipe/7000045,"[['유채가득2줌'], ['된장1/3큰술'], ['국간장1/2큰술'], ['다진마늘1작은술'], ['깨소금1/2큰술'], ['참기름1/3큰술']]"
데낄라 선라이즈 만들기![홈텐딩/칵테일/데킬라선라이즈],http://www.10000recipe.com/recipe/7000046,"[['데킬라1.5oz'], ['오렌지주스2컵'], ['그레나딘시럽0.5oz'], ['각얼음2스쿱'], ['각얼음약간']]"
납작 감자구이 만들기 감자의 색다른 반전,http://www.10000recipe.com/recipe/7000047,"[['재료:감자5'], ['올리브유'], ['소금'], ['후추'], ['시즈닝'], ['소스']]"
맑은소고기무국 끓이는법 소고기뭇국,http://www.10000recipe.com/recipe/7000048,"[['소고기145g'], ['무140g'], ['대파30g'], ['다진마늘1큰술'], ['들기름1큰술'], ['물1.2L'], ['국간장1.5큰술'], ['까나리액젓1큰술']]"
순대볶음 (누가 만들어도 맛나게 만들 수 있는 양념레시피),http://www.10000recipe.com/recipe/7000049,"[['순대500g'], ['팽이버섯150g'], ['대파1/2대'], ['양배추200g'], ['양파1/2개'], ['청양고추1개'], ['홍고추1개'], ['고수2뿌리'], ['식용유3T'], ['통깨약간'], ['다진마늘1T'], ['고추장2T'], ['고춧가루2.5T'], ['진간장2T'], ['설탕1.5T'], ['맛술2T'], ['물30ml']]"
비엔나 소세지 야채볶음 만드는법 양파 소세지볶음,http://www.10000recipe.com/recipe/7000050,"[['비엔나소세지120g'], ['양파150g'], ['대파35g'], ['포도씨유3큰술'], ['굴소스1큰술'], ['케찹1.2큰술'], ['통깨적당히'], ['소금적당히'], ['후춧가루적당히'], ['뜨거운물400-500ml']]"
백종원 메추리알 장조림 만들기 껍질까는법 도시락반찬,http://www.10000recipe.com/recipe/7000051,"[['메추리알2팩'], ['물2컵'], ['간장1/2컵'], ['올리고당2T'], ['후춧가루약간']]"
목살 한 팩으로 풍미 넘치는 스테이크 만들기!,http://www.10000recipe.com/recipe/7000052,"[['돼지고기목살400g'], ['소금1꼬집'], ['후춧가루1꼬집'], ['돈까스소스3Ts'], ['토마토케찹3Ts'], ['스테이크소스2Ts']]"
간장 무장아찌 무짠지무침 가정식 자취생 여름 남편도시락 밑반찬요리,http://www.10000recipe.com/recipe/7000053,"[['간장무장아찌1/2개'], ['고춧가루2T'], ['통깨약간'], ['청양고추3개'], ['올리고당1T']]"
봄동전 만드는법~배추요리,http://www.10000recipe.com/recipe/7000054,"[['봄동적당히'], ['튀김가루1/2컵'], ['부침가루1/2컵'], ['물1컵'], ['들기름조금']]"
베이컨 넣어 더 고소한 에그샐러드 에그샌드위치 계란샌드위치 모닝롤 샌드위치 만들기 아이간식 도시락메뉴,http://www.10000recipe.com/recipe/7000055,"[['모닝롤4개'], ['삶은계란5개'], ['베이컨110g'], ['체다치즈4장'], ['귤잼적당량'], ['설탕1큰술'], ['마요네즈3큰술'], ['허니머스타드1큰술'], ['파마산치즈1큰술'], ['후춧가루톡톡'], ['파슬리가루톡톡'], ['레몬즙1큰술'], ['블랙올리브슬라이스2큰술'], ['다진피클2큰술']]"
10개월 아기 영양간식: 단호박당근빵 에어프라이어로,http://www.10000recipe.com/recipe/7000056,"[['당근165g'], ['단호박262g'], ['계란1알'], ['분유3T'], ['밀가루또는쌀가루4T'], ['아기치즈1장']]"
"[만개백과] EP. 52 영양가 있는 한그릇 요리, 계란밥",http://www.10000recipe.com/recipe/7000057,"[['밥1/2공기'], ['달걀2개'], ['물100ml'], ['슬라이스햄2장'], ['대파15cm'], ['피자치즈1/2종이컵'], ['슬라이스치즈1/2장'], ['간장1/2숟가락'], ['소금약간'], ['후추약간']]"
보슬보슬 감자국,http://www.10000recipe.com/recipe/7000058,"[['감자2개'], ['다시마5조각'], ['소금약간'], ['국간장1스푼'], ['다진마늘1스푼']]"
"한가지 반죽으로 두종류 머핀 만들기, 촉촉한 베리요거트머핀 (블루베리머핀 & 라즈베리머핀)",http://www.10000recipe.com/recipe/7000059,"[['무염버터100g'], ['카놀라유또는식용유50g'], ['설탕180g'], ['달걀2개'], ['요거트40g'], ['우유90g'], ['밀가루박력분290g'], ['베이킹파우더10g'], ['소금2g'], ['블루베리140g'], ['라즈베리140g'], ['비정제설탕약간']]"
알감자조림,http://www.10000recipe.com/recipe/7000060,"[['알감자15개'], ['쪽파약간'], ['통깨1스푼'], ['후춧가루약간'], ['참기름1스푼'], ['진간장4스푼'], ['맛술1스푼'], ['올리고당4스푼'], ['흑설탕2스푼']]"
막걸리수육 누린내 없이 야들야들한 수육 삶는 방법 성시경 레시피,http://www.10000recipe.com/recipe/7000061,"[['돼지고기앞다리살650g'], ['막걸리1통'], ['양파1/2개'], ['대파1대'], ['통마늘6톨'], ['다시마3장'], ['된장1큰술'], ['소금1큰술'], ['물1L']]"
고동삶는법 / 갯벌체험으로 잡은 바다 고동 먹는법 고동요리,http://www.10000recipe.com/recipe/7000062,"[['고동'], ['된장1T']]"
백종원표 가지밥 정말 쉬워요^^,http://www.10000recipe.com/recipe/7000063,"[['쌀3인분'], ['가지2개'], ['대파10cm'], ['식용유2T'], ['진간장3T']]"
향긋한 봄 내음 가득 냉이된장국,http://www.10000recipe.com/recipe/7000064,"[['냉이200~250g'], ['양파1/2개'], ['대파1/3개'], ['두부1/3모'], ['물1000ml'], ['된장1.5큰술'], ['다진마늘1큰술'], ['멸치액젓1큰술'], ['고춧가루1/2큰술']]"
[살 빠지는 레시피]193kcal 맑은 코다리탕 시원하고 깔끔한 맛!,http://www.10000recipe.com/recipe/7000065,"[['코다리300g'], ['무150g'], ['쑥갓20g'], ['대파20g'], ['홍고추약간'], ['마늘4쪽'], ['국간장3숟갈'], ['참치액1숟갈'], ['생강가루약간']]"
도쿄 몬자야끼 만드는법 (밀키트 불독),http://www.10000recipe.com/recipe/7000066,"[['몬자야끼가루'], ['몬자소스'], ['텐카스'], ['오징어말린것'], ['새우'], ['아오사'], ['명란1/2개'], ['양배추150g']]"
[살 빠지는 레시피] 계란 피자 만들기 오븐 에어프라이어 없이 피자 만드는 법,http://www.10000recipe.com/recipe/7000067,"[['통밀또띠아40g'], ['계란3개'], ['토마토90g'], ['모차렐라치즈50g'], ['피망15g'], ['올리브유1숟갈'], ['소금적당히'], ['스리라차소스적당히']]"
비빔만두 만들기,http://www.10000recipe.com/recipe/7000068,"[['물만두1봉'], ['오일넉넉하게'], ['양배추조금'], ['당근조금'], ['양파또는콩나물'], ['오이조금'], ['간장2큰술'], ['고추장2큰술'], ['고춧가루2큰술'], ['설탕1큰술'], ['레몬즙3큰술'], ['매실청1.5큰술'], ['올리고당2큰술'], ['들기름2큰술']]"
집에서도 간단하게! 한우 육회 황금레시피,http://www.10000recipe.com/recipe/7000069,"[['한우우둔살220g'], ['간장1T'], ['참기름1T'], ['꿀1T'], ['다진마늘0.5T'], ['통깨1T'], ['계란노른자1개'], ['배1/2개'], ['치즈2장']]"
[카츠동] 겉바속촉의 정석! 육즙 가득한 일본식 돈카츠 덮밥,http://www.10000recipe.com/recipe/7000070,"[['돼지고기안심600g'], ['식용유1L'], ['빵가루400g'], ['달걀4개'], ['감자전분2큰술'], ['소금3꼬집'], ['후추3꼬집'], ['간장2큰술'], ['굴소스2큰술'], ['바베큐소스3큰술'], ['케첩1큰술'], ['달걀4개'], ['맛술1작은술'], ['간장1/2작은술'], ['후추2꼬집'], ['양파1/2개'], ['물200ml'], ['간장3큰술'], ['미림3큰술'], ['설탕1작은술'], ['혼다시1/2작은술'], ['흰쌀2컵'], ['다시마1장'], ['식초1/4작은술']]"
알토란 가자미구이,http://www.10000recipe.com/recipe/7000071,"[['가자미2마리'], ['감자전분8큰술'], ['식용유10큰술'], ['대파1/2대'], ['양파1/2개'], ['편생강40g'], ['마늘6개'], ['물2컵'], ['진간장1/2컵'], ['맛술5큰술'], ['청주5큰술'], ['다진생강1작은술'], ['다진마늘1큰술'], ['후춧가루1작은술']]"
맛있게 잡채밥 만들기 남은 잡채 요리,http://www.10000recipe.com/recipe/7000072,"[['남은잡채1그릇'], ['밥1인분'], ['쪽파약간'], ['굴소스1큰술'], ['고춧가루1큰술'], ['참기름1큰술'], ['통깨0.5큰술']]"
편스토랑 무생채 군침도는 레시피,http://www.10000recipe.com/recipe/7000073,"[['무500g'], ['대파적당량'], ['고추가루5큰술'], ['설탕4큰술'], ['식초2큰술'], ['간장2큰술'], ['액젓1큰술'], ['천일염1꼬집']]"
바스크 치즈 케이크,http://www.10000recipe.com/recipe/7000074,"[['크림치즈410g'], ['설탕123g'], ['계란135g'], ['바닐라에센스3방울'], ['생크림135ml']]"
명란자장면,http://www.10000recipe.com/recipe/7000075,"[['다짐육80g'], ['소금3g'], ['후추3g'], ['양파1개'], ['양배추2줌'], ['명란100g'], ['오이1/4개'], ['중화면1개'], ['완두콩5개'], ['전분2큰술'], ['물2큰술'], ['춘장2큰술'], ['설탕2큰술'], ['다진마늘1큰술'], ['다진생강1/4큰술']]"
등갈비 김치찜 만드는법 돼지고기 묵은지 김치찜,http://www.10000recipe.com/recipe/7000076,"[['등갈비1.2kg'], ['묵은배추김치1/2포기'], ['감자2개'], ['고추5개'], ['양파1개'], ['파1뿌리'], ['물1000ml'], ['다진마늘1스푼'], ['설탕1/2스푼'], ['고춧가루1/2스푼'], ['후춧가루1/2스푼']]"
밥도둑 반찬! 비엔나 문어 소세지 야채볶음 만들기,http://www.10000recipe.com/recipe/7000077,"[['비엔나소세지135g'], ['양파1개'], ['당근1/3개'], ['대파1토막'], ['다진마늘1T'], ['식용유1T'], ['굴소스1T'], ['케찹3T'], ['올리고당1.5T'], ['참기름0.5T'], ['후춧가루조금'], ['통깨0.5T']]"
스팸순두부찌개 간단한 재료로 순두부찌개 맛있게 만들기,http://www.10000recipe.com/recipe/7000078,"[['순두부1봉지'], ['스팸200g'], ['양파1/2개'], ['애호박1/3개'], ['팽이버섯1/2봉지'], ['대파20cm'], ['청양고추2개'], ['물2컵'], ['계란1개'], ['식용유2숟갈'], ['참기름1숟갈'], ['고춧가루2숟갈'], ['국간장2숟갈'], ['다진마늘1숟갈'], ['후춧가루약간']]"
바지락살 미역국 조개살 미역국 끓이는 법,http://www.10000recipe.com/recipe/7000079,"[['건미역20g'], ['바지락살100g'], ['물1500ml'], ['참기름1숟갈'], ['다진마늘1/2숟갈'], ['국간장1숟갈'], ['참치액젓1숟갈'], ['소금약간']]"
삼겹살 요리 초간단 맥주 수육,http://www.10000recipe.com/recipe/7000080,"[['삼겹살500g'], ['맥주500ml'], ['후춧가루약간'], ['진간장20g'], ['물20g'], ['맛술20g'], ['설탕1/3큰술'], ['다진마늘1/2큰술']]"
차지키소스 그릭요거트소스,http://www.10000recipe.com/recipe/7000081,"[['그릭요거트300g'], ['오이1개'], ['딜약간'], ['마늘1톨'], ['레몬즙1T'], ['레몬제스트약간'], ['올리브오일2T']]"
봄바지락요리 바지락된장찌개 바지락해감/된장찌개 꿀팁,http://www.10000recipe.com/recipe/7000082,"[['바지락300g'], ['멸치육수700ml'], ['두부1/3모'], ['애호박1/3개'], ['양파1/3개'], ['삭힌고추5개'], ['꽃게다리5개'], ['표고버섯1개'], ['홍고추1개'], ['대파1/3개'], ['된장1.5스푼'], ['고춧가루0.5스푼'], ['맛술2스푼'], ['생강즙2티스푼'], ['황설탕2티스푼'], ['소금약간']]"
TV속 레시피 가래떡 떡볶이 서진이네 떡볶이/고추장떡볶이양념,http://www.10000recipe.com/recipe/7000083,"[['가래떡10개'], ['대파30g'], ['물150ml'], ['고추장2스푼'], ['식용유2스푼'], ['황설탕1스푼'], ['올리고당2스푼']]"
자취반찬 생표고버섯요리 표고버섯볶음 표고버섯꽈리볶음/꽈리고추볶음,http://www.10000recipe.com/recipe/7000084,"[['생표고버섯3개'], ['꽈리고추20여개'], ['물1/3컵'], ['식용유1스푼'], ['진간장1스푼'], ['멸치액젓0.5스푼'], ['황설탕0.5스푼'], ['물엿1스푼'], ['후춧가루1꼬집'], ['참기름1스푼'], ['깨소금약간']]"
황태 미역국 끓이기 (최고의 요리비결 레시피),http://www.10000recipe.com/recipe/7000085,"[['불린미역100g'], ['황태채40g'], ['참기름2스푼'], ['쌀뜨물4컵'], ['다진마늘1/2스푼'], ['국간장1스푼'], ['참치액1/2스푼'], ['소금1/3스푼'], ['계란1개']]"
"다이어트 요리, 대패삼겹살 채소찜",http://www.10000recipe.com/recipe/7000086,"[['대패삼겹살200g'], ['청경채4개'], ['느타리버섯1송이'], ['팽이버섯1봉'], ['숙주100g'], ['파프리카1/2개'], ['간장소스약간']]"
"남편의 야식, 밀가루 없는 감자채전",http://www.10000recipe.com/recipe/7000087,"[['감자2개'], ['소금약간'], ['파마산치즈적당히'], ['식용유약간']]"
"동이 오른 유채, 맛있게 즐겨요. 반찬 3가지",http://www.10000recipe.com/recipe/7000088,"[['유채나물150g'], ['멸치액젓2숟가락'], ['마늘'], ['참기름'], ['깨소금약간'], ['유채나물150g'], ['멸치액젓2숟가락'], ['고춧가루2숟가락'], ['마늘'], ['참기름'], ['깨소금'], ['산초가루약간'], ['유채나물150g'], ['된장1숟가락'], ['육수5컵'], ['들깨가루2숟가락'], ['마늘1숟가락'], ['조갯살100g'], ['붉은고추1개']]"
강된장 만드는법 우렁쌈장 만들기,http://www.10000recipe.com/recipe/7000089,"[['우렁이62g'], ['애호박29g'], ['표고버섯1개20g'], ['양파60g'], ['대파18g'], ['다진마늘0.5큰술'], ['된장1큰술'], ['고추장0.5큰술'], ['황설탕0.3큰술'], ['들기름1큰술'], ['멸치다시마육수50ml'], ['밀가루2큰술'], ['소주30ml']]"
된장찌개 맛있게 끓이는 법 우렁된장찌개,http://www.10000recipe.com/recipe/7000090,"[['우렁이65g'], ['애호박60g'], ['양파35g'], ['대파25g'], ['두부1/2'], ['청양고추1개8g'], ['홍고추1개9g'], ['된장1.5큰술'], ['고추가루0.5큰술'], ['다진마늘0.3큰술'], ['멸치다시마육수800ml']]"
달콤바삭한 라면과자 레시피,http://www.10000recipe.com/recipe/7000091,"[['라면사리1봉지'], ['설탕2T'], ['물엿3T']]"
만두맛살애호박전 레시피,http://www.10000recipe.com/recipe/7000092,"[['만두10개'], ['계란2알'], ['맛살1줄'], ['애호박50g'], ['식용유적당량']]"
대파 오징어 무침,http://www.10000recipe.com/recipe/7000093,"[['오징어2마리'], ['대파2대'], ['소금2꼬집'], ['천일염1큰술'], ['밀가루3큰술'], ['국간장1큰술'], ['설탕1큰술'], ['2배식초2큰술'], ['마늘1큰술'], ['통깨1큰술'], ['된장1/2큰술'], ['고춧가루1큰술'], ['참기름1큰술'], ['다진청양고추1개'], ['고추장2큰술']]"
"바지락과 목살의 조화, 봉골레 목살 파스타",http://www.10000recipe.com/recipe/7000094,"[['스파게티면2인분'], ['바지락100g'], ['올리브유4스푼'], ['청고추0.5개'], ['홍고추0.5개'], ['굵은소금1스푼'], ['소주1컵'], ['목살150g'], ['후춧가루1꼬집'], ['소금1꼬집'], ['파슬리가루조금'], ['마늘8개']]"
치킨보다 담백하 맛있어서 순삭한~닭다리 간장조림 만드는 법 김진옥요리가좋다,http://www.10000recipe.com/recipe/7000095,"[['닭다리1kg'], ['양파1개'], ['대파1개'], ['간장12T'], ['굴소스2T'], ['다진마늘2T'], ['올리고당6T'], ['미림4T'], ['후춧가루적당히']]"
#쫄면요리 #짜장가루요리 #짜장쫄볶이만들기 #초간단짜장쫄볶이 #짜장가루 #불닭소스,http://www.10000recipe.com/recipe/7000096,"[['쫄면사리100g'], ['카라멜소스1큰술'], ['불닭소스1작은술'], ['감자수제비5개'], ['짜장가루3큰술']]"
콩나물 무국,http://www.10000recipe.com/recipe/7000097,"[['콩나물300g'], ['무1/3'], ['물3L'], ['건멸치1줌'], ['다시마5조각'], ['참치액3T']]"
